ID,父id,简称,名称,层级,拼音,长途区号,邮编,首字母,经度,纬度
513328,513300,甘孜,甘孜县,"<span class=""text-danger"">区/县</span>",Ganzi,836,626700,G,99.99307,31.62672
513327,513300,炉霍,炉霍县,"<span class=""text-danger"">区/县</span>",Luhuo,836,626500,L,100.67681,31.3917
513326,513300,道孚,道孚县,"<span class=""text-danger"">区/县</span>",Daofu,836,626400,D,101.12554,30.98046
513325,513300,雅江,雅江县,"<span class=""text-danger"">区/县</span>",Yajiang,836,627450,Y,101.01492,30.03281
513324,513300,九龙,九龙县,"<span class=""text-danger"">区/县</span>",Jiulong,836,616200,J,101.50848,29.00091
513323,513300,丹巴,丹巴县,"<span class=""text-danger"">区/县</span>",Danba,836,626300,D,101.88424,30.87656
513322,513300,泸定,泸定县,"<span class=""text-danger"">区/县</span>",Luding,836,626100,L,102.23507,29.91475
513301,513300,康定,康定市,"<span class=""text-danger"">区/县</span>",Kangding,836,626000,K,101.96487,30.05532
513300,510000,甘孜,甘孜藏族自治州,"<span class=""text-success"">市</span>",Garze,836,626000,G,101.963815,30.050663
513233,513200,红原,红原县,"<span class=""text-danger"">区/县</span>",Hongyuan,837,624400,H,102.54525,32.78989
513232,513200,若尔盖,若尔盖县,"<span class=""text-danger"">区/县</span>",Ruoergai,837,624500,R,102.9598,33.57432
