ID,父id,简称,名称,层级,拼音,长途区号,邮编,首字母,经度,纬度
530724,530700,宁蒗,宁蒗彝族自治县,"<span class=""text-danger"">区/县</span>",Ninglang,888,674300,N,100.8507,27.28179
530723,530700,华坪,华坪县,"<span class=""text-danger"">区/县</span>",Huaping,888,674800,H,101.26562,26.62967
530722,530700,永胜,永胜县,"<span class=""text-danger"">区/县</span>",Yongsheng,888,674200,Y,100.74667,26.68591
530721,530700,玉龙,玉龙纳西族自治县,"<span class=""text-danger"">区/县</span>",Yulong,888,674100,Y,100.2369,26.82149
530702,530700,古城,古城区,"<span class=""text-danger"">区/县</span>",Gucheng,888,674100,G,100.2257,26.87697
530700,530000,丽江,丽江市,"<span class=""text-success"">市</span>",Lijiang,888,674100,L,100.233026,26.872108
530630,530600,水富,水富县,"<span class=""text-danger"">区/县</span>",Shuifu,870,657800,S,104.4158,28.62986
530629,530600,威信,威信县,"<span class=""text-danger"">区/县</span>",Weixin,870,657900,W,105.04754,27.84065
530628,530600,彝良,彝良县,"<span class=""text-danger"">区/县</span>",Yiliang,870,657600,Y,104.04983,27.62809
530627,530600,镇雄,镇雄县,"<span class=""text-danger"">区/县</span>",Zhenxiong,870,657200,Z,104.87258,27.43981
530626,530600,绥江,绥江县,"<span class=""text-danger"">区/县</span>",Suijiang,870,657700,S,103.94937,28.59661
530625,530600,永善,永善县,"<span class=""text-danger"">区/县</span>",Yongshan,870,657300,Y,103.63504,28.2279
530624,530600,大关,大关县,"<span class=""text-danger"">区/县</span>",Daguan,870,657400,D,103.89254,27.7488
530623,530600,盐津,盐津县,"<span class=""text-danger"">区/县</span>",Yanjin,870,657500,Y,104.23461,28.10856
530622,530600,巧家,巧家县,"<span class=""text-danger"">区/县</span>",Qiaojia,870,654600,Q,102.92416,26.91237
530621,530600,鲁甸,鲁甸县,"<span class=""text-danger"">区/县</span>",Ludian,870,657100,L,103.54721,27.19238
530602,530600,昭阳,昭阳区,"<span class=""text-danger"">区/县</span>",Zhaoyang,870,657000,Z,103.70654,27.31998
530600,530000,昭通,昭通市,"<span class=""text-success"">市</span>",Zhaotong,870,657000,Z,103.717216,27.336999
530581,530500,腾冲,腾冲市,"<span class=""text-danger"">区/县</span>",Tengchong,875,679100,T,98.49414,25.02539
530524,530500,昌宁,昌宁县,"<span class=""text-danger"">区/县</span>",Changning,875,678100,C,99.6036,24.82763
530523,530500,龙陵,龙陵县,"<span class=""text-danger"">区/县</span>",Longling,875,678300,L,98.69024,24.58746
530521,530500,施甸,施甸县,"<span class=""text-danger"">区/县</span>",Shidian,875,678200,S,99.18768,24.72418
530502,530500,隆阳,隆阳区,"<span class=""text-danger"">区/县</span>",Longyang,875,678000,L,99.16334,25.11163
530500,530000,保山,保山市,"<span class=""text-success"">市</span>",Baoshan,875,678000,B,99.167133,25.111802
530428,530400,元江,元江哈尼族彝族傣族自治县,"<span class=""text-danger"">区/县</span>",Yuanjiang,877,653300,Y,101.99812,23.59655
530427,530400,新平,新平彝族傣族自治县,"<span class=""text-danger"">区/县</span>",Xinping,877,653400,X,101.98895,24.06886
530426,530400,峨山,峨山彝族自治县,"<span class=""text-danger"">区/县</span>",Eshan,877,653200,E,102.40576,24.16904
530425,530400,易门,易门县,"<span class=""text-danger"">区/县</span>",Yimen,877,651100,Y,102.16354,24.67122
530424,530400,华宁,华宁县,"<span class=""text-danger"">区/县</span>",Huaning,877,652800,H,102.92831,24.1926
530423,530400,通海,通海县,"<span class=""text-danger"">区/县</span>",Tonghai,877,652700,T,102.76641,24.11362
530422,530400,澄江,澄江县,"<span class=""text-danger"">区/县</span>",Chengjiang,877,652500,C,102.90817,24.67376
530403,530400,江川,江川区,"<span class=""text-danger"">区/县</span>",Jiangchuan,877,652600,J,102.75412,24.28863
530402,530400,红塔,红塔区,"<span class=""text-danger"">区/县</span>",Hongta,877,653100,H,102.5449,24.35411
530400,530000,玉溪,玉溪市,"<span class=""text-success"">市</span>",Yuxi,877,653100,Y,102.543907,24.350461
530381,530300,宣威,宣威市,"<span class=""text-danger"">区/县</span>",Xuanwei,874,655400,X,104.10409,26.2173
530326,530300,会泽,会泽县,"<span class=""text-danger"">区/县</span>",Huize,874,654200,H,103.30017,26.41076
530325,530300,富源,富源县,"<span class=""text-danger"">区/县</span>",Fuyuan,874,655500,F,104.25387,25.66587
530324,530300,罗平,罗平县,"<span class=""text-danger"">区/县</span>",Luoping,874,655800,L,104.30859,24.88444
530323,530300,师宗,师宗县,"<span class=""text-danger"">区/县</span>",Shizong,874,655700,S,103.99084,24.82822
530322,530300,陆良,陆良县,"<span class=""text-danger"">区/县</span>",Luliang,874,655600,L,103.6665,25.02335
530304,530300,马龙,马龙区,"<span class=""text-danger"">区/县</span>",Malong,874,655100,M,103.57873,25.42521
530303,530300,沾益,沾益区,"<span class=""text-danger"">区/县</span>",Zhanyi,874,655331,Z,103.82135,25.60715
530302,530300,麒麟,麒麟区,"<span class=""text-danger"">区/县</span>",Qilin,874,655000,Q,103.80504,25.49515
530300,530000,曲靖,曲靖市,"<span class=""text-success"">市</span>",Qujing,874,655000,Q,103.797851,25.501557
530181,530100,安宁,安宁市,"<span class=""text-danger"">区/县</span>",Anning,871,650300,A,102.46972,24.91652
530129,530100,寻甸,寻甸回族彝族自治县,"<span class=""text-danger"">区/县</span>",Xundian,871,655200,X,103.2557,25.55961
530128,530100,禄劝,禄劝彝族苗族自治县,"<span class=""text-danger"">区/县</span>",Luquan,871,651500,L,102.4671,25.55387
530127,530100,嵩明,嵩明县,"<span class=""text-danger"">区/县</span>",Songming,871,651700,S,103.03729,25.33986
530126,530100,石林,石林彝族自治县,"<span class=""text-danger"">区/县</span>",Shilin,871,652200,S,103.27148,24.75897
530125,530100,宜良,宜良县,"<span class=""text-danger"">区/县</span>",Yiliang,871,652100,Y,103.14117,24.91705
530124,530100,富民,富民县,"<span class=""text-danger"">区/县</span>",Fumin,871,650400,F,102.4985,25.22119
530115,530100,晋宁,晋宁区,"<span class=""text-danger"">区/县</span>",Jinning,871,650600,J,102.59393,24.6665
530114,530100,呈贡,呈贡区,"<span class=""text-danger"">区/县</span>",Chenggong,871,650500,C,102.801382,24.889275
530113,530100,东川,东川区,"<span class=""text-danger"">区/县</span>",Dongchuan,871,654100,D,103.18832,26.083
530112,530100,西山,西山区,"<span class=""text-danger"">区/县</span>",Xishan,871,650100,X,102.66464,25.03796
530111,530100,官渡,官渡区,"<span class=""text-danger"">区/县</span>",Guandu,871,650200,G,102.74362,25.01497
530103,530100,盘龙,盘龙区,"<span class=""text-danger"">区/县</span>",Panlong,871,650000,P,102.71994,25.04053
530102,530100,五华,五华区,"<span class=""text-danger"">区/县</span>",Wuhua,871,650000,W,102.70786,25.03521
530100,530000,昆明,昆明市,"<span class=""text-success"">市</span>",Kunming,871,650000,K,102.712251,25.040609
530000,100000,云南,云南省,"<span class=""text-primary"">省</span>",Yunnan,,,Y,102.712251,25.040609
522732,522700,三都,三都水族自治县,"<span class=""text-danger"">区/县</span>",Sandu,854,558100,S,107.87464,25.98562
522731,522700,惠水,惠水县,"<span class=""text-danger"">区/县</span>",Huishui,854,550600,H,106.65911,26.13389
522730,522700,龙里,龙里县,"<span class=""text-danger"">区/县</span>",Longli,854,551200,L,106.97662,26.45076
522729,522700,长顺,长顺县,"<span class=""text-danger"">区/县</span>",Changshun,854,550700,C,106.45217,26.02299
522728,522700,罗甸,罗甸县,"<span class=""text-danger"">区/县</span>",Luodian,854,550100,L,106.75186,25.42586
522727,522700,平塘,平塘县,"<span class=""text-danger"">区/县</span>",Pingtang,854,558300,P,107.32428,25.83294
522726,522700,独山,独山县,"<span class=""text-danger"">区/县</span>",Dushan,854,558200,D,107.54101,25.8245
522725,522700,瓮安,瓮安县,"<span class=""text-danger"">区/县</span>",Weng'an,854,550400,W,107.4757,27.06813
522723,522700,贵定,贵定县,"<span class=""text-danger"">区/县</span>",Guiding,854,551300,G,107.23654,26.57812
522722,522700,荔波,荔波县,"<span class=""text-danger"">区/县</span>",Libo,854,558400,L,107.88592,25.4139
522702,522700,福泉,福泉市,"<span class=""text-danger"">区/县</span>",Fuquan,854,550500,F,107.51715,26.67989
522701,522700,都匀,都匀市,"<span class=""text-danger"">区/县</span>",Duyun,854,558000,D,107.51872,26.2594
522700,520000,黔南,黔南布依族苗族自治州,"<span class=""text-success"">市</span>",Qiannan,854,558000,Q,107.517156,26.258219
522636,522600,丹寨,丹寨县,"<span class=""text-danger"">区/县</span>",Danzhai,855,557500,D,107.79718,26.19816
522635,522600,麻江,麻江县,"<span class=""text-danger"">区/县</span>",Majiang,855,557600,M,107.59155,26.49235
522634,522600,雷山,雷山县,"<span class=""text-danger"">区/县</span>",Leishan,855,557100,L,108.07745,26.38385
522633,522600,从江,从江县,"<span class=""text-danger"">区/县</span>",Congjiang,855,557400,C,108.90527,25.75415
522632,522600,榕江,榕江县,"<span class=""text-danger"">区/县</span>",Rongjiang,855,557200,R,108.52072,25.92421
522631,522600,黎平,黎平县,"<span class=""text-danger"">区/县</span>",Liping,855,557300,L,109.13607,26.23114
522630,522600,台江,台江县,"<span class=""text-danger"">区/县</span>",Taijiang,855,556300,T,108.31814,26.66916
522629,522600,剑河,剑河县,"<span class=""text-danger"">区/县</span>",Jianhe,855,556400,J,108.5913,26.6525
522628,522600,锦屏,锦屏县,"<span class=""text-danger"">区/县</span>",Jinping,855,556700,J,109.19982,26.67635
522627,522600,天柱,天柱县,"<span class=""text-danger"">区/县</span>",Tianzhu,855,556600,T,109.20718,26.90781
522626,522600,岑巩,岑巩县,"<span class=""text-danger"">区/县</span>",Cengong,855,557800,C,108.81884,27.17539
522625,522600,镇远,镇远县,"<span class=""text-danger"">区/县</span>",Zhenyuan,855,557700,Z,108.42721,27.04933
522624,522600,三穗,三穗县,"<span class=""text-danger"">区/县</span>",Sansui,855,556500,S,108.67132,26.94765
522623,522600,施秉,施秉县,"<span class=""text-danger"">区/县</span>",Shibing,855,556200,S,108.12597,27.03495
522622,522600,黄平,黄平县,"<span class=""text-danger"">区/县</span>",Huangping,855,556100,H,107.90179,26.89573
522601,522600,凯里,凯里市,"<span class=""text-danger"">区/县</span>",Kaili,855,556000,K,107.98132,26.56689
522600,520000,黔东南,黔东南苗族侗族自治州,"<span class=""text-success"">市</span>",Qiandongnan,855,556000,Q,107.977488,26.583352
522328,522300,安龙,安龙县,"<span class=""text-danger"">区/县</span>",Anlong,859,552400,A,105.44268,25.09818
522327,522300,册亨,册亨县,"<span class=""text-danger"">区/县</span>",Ceheng,859,552200,C,105.8124,24.98376
522326,522300,望谟,望谟县,"<span class=""text-danger"">区/县</span>",Wangmo,859,552300,W,106.09957,25.17822
522325,522300,贞丰,贞丰县,"<span class=""text-danger"">区/县</span>",Zhenfeng,859,562200,Z,105.65454,25.38464
522324,522300,晴隆,晴隆县,"<span class=""text-danger"">区/县</span>",Qinglong,859,561400,Q,105.2192,25.83522
522323,522300,普安,普安县,"<span class=""text-danger"">区/县</span>",Pu'an,859,561500,P,104.95529,25.78603
522322,522300,兴仁,兴仁县,"<span class=""text-danger"">区/县</span>",Xingren,859,562300,X,105.18652,25.43282
522301,522300,兴义,兴义市,"<span class=""text-danger"">区/县</span>",Xingyi,859,562400,X,104.89548,25.09205
522300,520000,黔西南,黔西南布依族苗族自治州,"<span class=""text-success"">市</span>",Qianxinan,859,562400,Q,104.897971,25.08812
520628,520600,松桃,松桃苗族自治县,"<span class=""text-danger"">区/县</span>",Songtao,856,554100,S,109.202627,28.165419
520627,520600,沿河,沿河土家族自治县,"<span class=""text-danger"">区/县</span>",Yuanhe,856,565300,Y,108.495746,28.560487
520626,520600,德江,德江县,"<span class=""text-danger"">区/县</span>",Dejiang,856,565200,D,108.117317,28.26094
520625,520600,印江,印江土家族苗族自治县,"<span class=""text-danger"">区/县</span>",Yinjiang,856,555200,Y,108.405517,27.997976
520624,520600,思南,思南县,"<span class=""text-danger"">区/县</span>",Sinan,856,565100,S,108.255827,27.941331
520623,520600,石阡,石阡县,"<span class=""text-danger"">区/县</span>",Shiqian,856,555100,S,108.229854,27.519386
520622,520600,玉屏,玉屏侗族自治县,"<span class=""text-danger"">区/县</span>",Yuping,856,554004,Y,108.917882,27.238024
520621,520600,江口,江口县,"<span class=""text-danger"">区/县</span>",Jiangkou,856,554400,J,108.848427,27.691904
520603,520600,万山,万山区,"<span class=""text-danger"">区/县</span>",Wanshan,856,554200,W,109.21199,27.51903
520602,520600,碧江,碧江区,"<span class=""text-danger"">区/县</span>",Bijiang,856,554300,B,109.191555,27.718346
