名称,代码,上级代码,工种类型
塔吊/吊车司机/信号工/维修,1603,16,"吊车,指挥工,起重机,汽车吊,司索工,随车吊,塔吊,维保,修理工"
挖机/钩机/维修,1604,16,"大挖,钩机,土方,土石方,小挖,微挖,挖机,修理工,轮挖"
推土机司机,1605,16,"土方,土石方,拉土方"
压路机/摊铺机,1606,16,"压路机,摊铺机"
货车/运输车/渣土车/挂车司机,1607,16,"泵车,货车,货运,卡车,B证,A证,面包车,土方,土石方,拉土方,B照,渣车,挂车"
铲车/装载机,1608,16,"铲车,土方,土石方,拉土方,渣车,装载机,车队"
搅拌罐车/泵车司机/搅拌站,1609,16,"搅拌车,搅拌罐车,泵工,泵车"
打桩机/架桥机,1610,16,"钻机,钻工,泵工,泵车"
叉车工,1611,16,叉车
吊篮安拆工/维修工,1612,16,修理工
其他司机,1613,16,"大客车,铣刨机,洒水车,金杯车,小车,箱车,厢车,拖车,a2,A照,c1,C照,C证,货车,货运,冷藏车,公交车"
全部,1701,17,
普工,1702,17,小工
打磨工,1703,17,砂纸
搬运工,1704,17,"搬运工,装卸工,装车,卸货,卸车,上材料"
焊工,1705,17,"白钢,白铁,彩钢,电焊,电弧焊,钢结构,二保焊,焊工,焊楼梯,活动板房,铆工,碰焊工"
电工,1706,17,"布线,插座安装,穿线,灯具安装,电表,电工,电路,吊洞,接线,抗震支架,临电,配管,强电,桥架"
叉车工,1707,17,
喷漆工,1708,17,"喷粉,喷漆,喷粉工"
缝纫工,1709,17,
汽车维修工,1710,17,
包装工,1711,17,小工
钳工,1712,17,钳工
品检工,1713,17,
冲压工,1714,17,
装配工,1715,17,
车工,1716,17,
操作工,1717,17,操作工
组装工,1718,17,
学徒工,1719,17,小工
其他工厂,1720,17,"医疗厂,厂区,地板厂,工业园,沙发厂,器械厂,软床厂,木门厂,家具厂,配件厂"
工厂木工,1721,17,"木饰面安装,木匠"
全部,1801,18,
快递员/快递分拣,1802,18,"快递员,分拣,申通,顺丰,中通,宅急送,韵达,圆通,邮政快递,极兔,京东,百世,菜鸟"
外卖骑手,1803,18,"饿了么,骑手,送餐,送餐员,外卖员,美团"
物业/保安/保洁/内勤,1804,18,保洁
服务员/洗碗工/配菜,1805,18,
销售/导购/理货/营业员/店长,1806,18,
厨师/中餐/西餐/面点/烧烤,1807,18,工地厨师
美容/美发,1808,18,
客服/售后,1809,18,
临时工/兼职/其他,1810,18,"送餐,送餐员,送货"
土建承包,1901,19,
机电承包,1902,19,
全部,1903,19,
全部,2001,20,
搬运工/装卸工,2002,20,
物流货运司机,2003,20,
押运员,2004,20,
